ListTitle,FieldTitle,FieldInternalName
Decision Log,Modified,Modified
Decision Log,Created,Created
Decision Log,Created By,Author
Decision Log,Modified By,Editor
Decision Log,Has Copy Destinations,_HasCopyDestinations
Decision Log,Copy Source,_CopySource
Decision Log,owshiddenversion,owshiddenversion
Decision Log,Workflow Version,WorkflowVersion
Decision Log,UI Version,_UIVersion
Decision Log,Version,_UIVersionString
Decision Log,Attachments,Attachments
Decision Log,Approval Status,_ModerationStatus
Decision Log,Approver Comments,_ModerationComments
Decision Log,Edit,Edit
Decision Log,Title,LinkTitleNoMenu
Decision Log,Title,LinkTitle
Decision Log,Title,LinkTitle2
Decision Log,Select,SelectTitle
Decision Log,Instance ID,InstanceID
Decision Log,Order,Order
Decision Log,GUID,GUID
Decision Log,Workflow Instance ID,WorkflowInstanceID
Decision Log,URL Path,FileRef
Decision Log,Path,FileDirRef
Decision Log,Modified,Last_x0020_Modified
Decision Log,Created,Created_x0020_Date
Decision Log,Item Type,FSObjType
Decision Log,Sort Type,SortBehavior
Decision Log,Effective Permissions Mask,PermMask
Decision Log,Unique Id,UniqueId
Decision Log,Client Id,SyncClientId
Decision Log,ProgId,ProgId
Decision Log,ScopeId,ScopeId
Decision Log,File Type,File_x0020_Type
Decision Log,HTML File Type,HTML_x0020_File_x0020_Type
Decision Log,Edit Menu Table Start,_EditMenuTableStart
Decision Log,Edit Menu Table Start,_EditMenuTableStart2
Decision Log,Edit Menu Table End,_EditMenuTableEnd
Decision Log,Type,DocIcon
Decision Log,Server Relative URL,ServerUrl
Decision Log,Encoded Absolute URL,EncodedAbsUrl
Decision Log,Property Bag,MetaInfo
Decision Log,Level,_Level
Decision Log,Is Current Version,_IsCurrentVersion
Decision Log,Item Child Count,ItemChildCount
Decision Log,Folder Child Count,FolderChildCount
Decision Log,Restricted,Restricted
Decision Log,Originator Id,OriginatorId
Decision Log,NoExecute,NoExecute
Decision Log,Content Version,ContentVersion
Decision Log,Label setting,_ComplianceFlags
Decision Log,Retention label,_ComplianceTag
Decision Log,Retention label Applied,_ComplianceTagWrittenTime
Decision Log,Label applied by,_ComplianceTagUserId
Decision Log,Access Policy,AccessPolicy
Decision Log,VirusStatus,_VirusStatus
Decision Log,VirusVendorID,_VirusVendorID
Decision Log,VirusInfo,_VirusInfo
Decision Log,App Created By,AppAuthor
Decision Log,App Modified By,AppEditor
Decision Log,Total Size,SMTotalSize
Decision Log,Last Modified Date,SMLastModifiedDate
Decision Log,Total File Stream Size,SMTotalFileStreamSize
Decision Log,Total File Count,SMTotalFileCount
Decision Log,Compliance Asset Id,ComplianceAssetId
Decision Log,WF Trigger,eaWFTrigger
Decision Log,Decision Type,dlDecisionType
Decision Log,Description,eaDescription
Decision Log,Alternate ID,eaID
Decision Log,Project Area,eaProjectArea
Decision Log,Category,eaTag
Decision Log,Source,eaSource
Decision Log,Escalate Field,Escalate_x0020_Field
Decision Log,Pillar,eaPractice
Decision Log,Owner,eaOwner
Decision Log,Responsible Party,eaResponsible
Decision Log,Decision Stakeholder(s),dlDecisionStakeholders
Decision Log,Date Identified,eaIdentifiedDate
Decision Log,Notes,eaNotes
Decision Log,Parent / Child Relationship,Parent_x0020__x002F__x0020_Child
Decision Log,Decision Approval,Decision_x0020_Approval
Decision Log,Module,eaCohort
Decision Log,Enterprise Impact,eaEnterprise
Decision Log,Resolution Notes,eaResolution
Decision Log,Enterprise Keywords,TaxKeyword
Decision Log,TaxKeywordTaxHTField,TaxKeywordTaxHTField
Decision Log,Taxonomy Catch All Column,TaxCatchAll
Decision Log,Criticality,eaCriticality
Decision Log,Comment settings,_CommentFlags
Decision Log,Comment count,_CommentCount
Decision Log,Principal Count,PrincipalCount
Decision Log,Name,FileLeafRef
Decision Log,Name,LinkFilenameNoMenu
Decision Log,Name,LinkFilename
Decision Log,Name,LinkFilename2
Decision Log,File Name,BaseName
Decision Log,Item is a Record,_IsRecord
Document Type,ID,ID
Document Type,Content Type ID,ContentTypeId
Document Type,Content Type,ContentType
Document Type,Title,Title
Document Type,Modified,Modified
Document Type,Created,Created
Document Type,Created By,Author
Document Type,Modified By,Editor
Document Type,Has Copy Destinations,_HasCopyDestinations
Document Type,Copy Source,_CopySource
Document Type,owshiddenversion,owshiddenversion
Document Type,Workflow Version,WorkflowVersion
Document Type,UI Version,_UIVersion
Document Type,Version,_UIVersionString
Document Type,Attachments,Attachments
Document Type,Approval Status,_ModerationStatus
Document Type,Approver Comments,_ModerationComments
Document Type,Edit,Edit
Document Type,Title,LinkTitleNoMenu
Document Type,Title,LinkTitle
Document Type,Title,LinkTitle2
Document Type,Select,SelectTitle
Document Type,Instance ID,InstanceID
Document Type,Order,Order
Document Type,GUID,GUID
Document Type,Workflow Instance ID,WorkflowInstanceID
Document Type,URL Path,FileRef
Document Type,Path,FileDirRef
Document Type,Modified,Last_x0020_Modified
Document Type,Created,Created_x0020_Date
Document Type,Item Type,FSObjType
Document Type,Sort Type,SortBehavior
Document Type,Effective Permissions Mask,PermMask
Document Type,Unique Id,UniqueId
Document Type,Client Id,SyncClientId
Document Type,ProgId,ProgId
Document Type,ScopeId,ScopeId
Document Type,File Type,File_x0020_Type
Document Type,HTML File Type,HTML_x0020_File_x0020_Type
Document Type,Edit Menu Table Start,_EditMenuTableStart
Document Type,Edit Menu Table Start,_EditMenuTableStart2
Document Type,Edit Menu Table End,_EditMenuTableEnd
Document Type,Type,DocIcon
Document Type,Server Relative URL,ServerUrl
Document Type,Encoded Absolute URL,EncodedAbsUrl
Document Type,Property Bag,MetaInfo
Document Type,Level,_Level
Document Type,Is Current Version,_IsCurrentVersion
Document Type,Item Child Count,ItemChildCount
Document Type,Folder Child Count,FolderChildCount
Document Type,Restricted,Restricted
Document Type,Originator Id,OriginatorId
Document Type,NoExecute,NoExecute
Document Type,Content Version,ContentVersion
Document Type,Label setting,_ComplianceFlags
Document Type,Retention label,_ComplianceTag
Document Type,Retention label Applied,_ComplianceTagWrittenTime
Document Type,Label applied by,_ComplianceTagUserId
Document Type,Access Policy,AccessPolicy
Document Type,VirusStatus,_VirusStatus
Document Type,VirusVendorID,_VirusVendorID
Document Type,VirusInfo,_VirusInfo
Document Type,App Created By,AppAuthor
Document Type,App Modified By,AppEditor
Document Type,Total Size,SMTotalSize
Document Type,Last Modified Date,SMLastModifiedDate
Document Type,Total File Stream Size,SMTotalFileStreamSize
Document Type,Total File Count,SMTotalFileCount
Document Type,Compliance Asset Id,ComplianceAssetId
Document Type,Document Type,Document_x0020_Type
Document Type,Comment settings,_CommentFlags
Document Type,Comment count,_CommentCount
Document Type,Principal Count,PrincipalCount
Document Type,Name,FileLeafRef
Document Type,Name,LinkFilenameNoMenu
Document Type,Name,LinkFilename
Document Type,Name,LinkFilename2
Document Type,File Name,BaseName
Document Type,Item is a Record,_IsRecord
Documents,ID,ID
Documents,Content Type ID,ContentTypeId
Documents,Content Type,ContentType
Documents,Created,Created
Documents,Created By,Author
Documents,Modified,Modified
Documents,Modified By,Editor
Documents,Has Copy Destinations,_HasCopyDestinations
Documents,Copy Source,_CopySource
Documents,Approval Status,_ModerationStatus
Documents,Approver Comments,_ModerationComments
Documents,URL Path,FileRef
Documents,Path,FileDirRef
Documents,Modified,Last_x0020_Modified
Documents,Created,Created_x0020_Date
Documents,File Size,File_x0020_Size
Documents,Item Type,FSObjType
Documents,Sort Type,SortBehavior
Documents,Effective Permissions Mask,PermMask
Documents,ID of the User who has the item Checked Out,CheckedOutUserId
Documents,Is Checked out to local,IsCheckedoutToLocal
Documents,Checked Out To,CheckoutUser
