ListTitle,FieldTitle,FieldInternalName
Composed Looks,Modified,Modified
Composed Looks,Created,Created
Composed Looks,Created By,Author
Composed Looks,Modified By,Editor
Composed Looks,Has Copy Destinations,_HasCopyDestinations
Composed Looks,Copy Source,_CopySource
Composed Looks,owshiddenversion,owshiddenversion
Composed Looks,Workflow Version,WorkflowVersion
Composed Looks,UI Version,_UIVersion
Composed Looks,Version,_UIVersionString
Composed Looks,Attachments,Attachments
Composed Looks,Approval Status,_ModerationStatus
Composed Looks,Approver Comments,_ModerationComments
Composed Looks,Edit,Edit
Composed Looks,Title,LinkTitleNoMenu
Composed Looks,Title,LinkTitle
Composed Looks,Title,LinkTitle2
Composed Looks,Select,SelectTitle
Composed Looks,Instance ID,InstanceID
Composed Looks,Order,Order
Composed Looks,GUID,GUID
Composed Looks,Workflow Instance ID,WorkflowInstanceID
Composed Looks,URL Path,FileRef
Composed Looks,Path,FileDirRef
Composed Looks,Modified,Last_x0020_Modified
Composed Looks,Created,Created_x0020_Date
Composed Looks,Item Type,FSObjType
Composed Looks,Sort Type,SortBehavior
Composed Looks,Effective Permissions Mask,PermMask
Composed Looks,Principal Count,PrincipalCount
Composed Looks,Name,FileLeafRef
Composed Looks,Unique Id,UniqueId
Composed Looks,Client Id,SyncClientId
Composed Looks,ProgId,ProgId
Composed Looks,ScopeId,ScopeId
Composed Looks,File Type,File_x0020_Type
Composed Looks,HTML File Type,HTML_x0020_File_x0020_Type
Composed Looks,Edit Menu Table Start,_EditMenuTableStart
Composed Looks,Edit Menu Table Start,_EditMenuTableStart2
Composed Looks,Edit Menu Table End,_EditMenuTableEnd
Composed Looks,Name,LinkFilenameNoMenu
Composed Looks,Name,LinkFilename
Composed Looks,Name,LinkFilename2
Composed Looks,Type,DocIcon
Composed Looks,Server Relative URL,ServerUrl
Composed Looks,Encoded Absolute URL,EncodedAbsUrl
Composed Looks,File Name,BaseName
Composed Looks,Property Bag,MetaInfo
Composed Looks,Level,_Level
Composed Looks,Is Current Version,_IsCurrentVersion
Composed Looks,Item Child Count,ItemChildCount
Composed Looks,Folder Child Count,FolderChildCount
Composed Looks,Restricted,Restricted
Composed Looks,Originator Id,OriginatorId
Composed Looks,NoExecute,NoExecute
Composed Looks,Content Version,ContentVersion
Composed Looks,Label setting,_ComplianceFlags
Composed Looks,Retention label,_ComplianceTag
Composed Looks,Retention label Applied,_ComplianceTagWrittenTime
Composed Looks,Label applied by,_ComplianceTagUserId
Composed Looks,Item is a Record,_IsRecord
Composed Looks,Access Policy,AccessPolicy
Composed Looks,VirusStatus,_VirusStatus
Composed Looks,VirusVendorID,_VirusVendorID
Composed Looks,VirusInfo,_VirusInfo
Composed Looks,App Created By,AppAuthor
Composed Looks,App Modified By,AppEditor
Composed Looks,Total Size,SMTotalSize
Composed Looks,Last Modified Date,SMLastModifiedDate
Composed Looks,Total File Stream Size,SMTotalFileStreamSize
Composed Looks,Total File Count,SMTotalFileCount
Composed Looks,Compliance Asset Id,ComplianceAssetId
Composed Looks,Name,Name
Composed Looks,Master Page URL,MasterPageUrl
Composed Looks,Theme URL,ThemeUrl
Composed Looks,Image URL,ImageUrl
Composed Looks,Font Scheme URL,FontSchemeUrl
Composed Looks,Display Order,DisplayOrder
Decision Log,Content Type ID,ContentTypeId
Decision Log,Title,Title
Decision Log,Approval Status,_ModerationStatus
Decision Log,Approver Comments,_ModerationComments
Decision Log,Title,LinkTitleNoMenu
Decision Log,Title,LinkTitle
Decision Log,Title,LinkTitle2
Decision Log,File Type,File_x0020_Type
Decision Log,Compliance Asset Id,ComplianceAssetId
Decision Log,WF Trigger,eaWFTrigger
Decision Log,Decision Type,dlDecisionType
Decision Log,Description,eaDescription
Decision Log,Alternate ID,eaID
Decision Log,Project Area,eaProjectArea
Decision Log,Category,eaTag
Decision Log,Source,eaSource
Decision Log,Escalate Field,Escalate_x0020_Field
Decision Log,Pillar,eaPractice
Decision Log,Owner,eaOwner
Decision Log,Responsible Party,eaResponsible
Decision Log,Decision Stakeholder(s),dlDecisionStakeholders
Decision Log,Date Identified,eaIdentifiedDate
Decision Log,Notes,eaNotes
Decision Log,Parent / Child Relationship,Parent_x0020__x002F__x0020_Child
Decision Log,Decision Approval,Decision_x0020_Approval
Decision Log,Module,eaCohort
Decision Log,Enterprise Impact,eaEnterprise
Decision Log,Resolution Notes,eaResolution
Decision Log,Enterprise Keywords,TaxKeyword
Decision Log,TaxKeywordTaxHTField,TaxKeywordTaxHTField
Decision Log,Taxonomy Catch All Column,TaxCatchAll
Decision Log,Criticality,eaCriticality
Decision Log,ID,ID
Decision Log,Content Type,ContentType
Decision Log,Modified,Modified
Decision Log,Created,Created
Decision Log,Created By,Author
Decision Log,Modified By,Editor
Decision Log,Has Copy Destinations,_HasCopyDestinations
Decision Log,Copy Source,_CopySource
Decision Log,owshiddenversion,owshiddenversion
Decision Log,Workflow Version,WorkflowVersion
Decision Log,UI Version,_UIVersion
Decision Log,Version,_UIVersionString
Decision Log,Attachments,Attachments
Decision Log,Edit,Edit
Decision Log,Select,SelectTitle
Decision Log,Instance ID,InstanceID
Decision Log,Order,Order
Decision Log,GUID,GUID
Decision Log,Workflow Instance ID,WorkflowInstanceID
Decision Log,URL Path,FileRef
Decision Log,Path,FileDirRef
Decision Log,Modified,Last_x0020_Modified
Decision Log,Created,Created_x0020_Date
Decision Log,Item Type,FSObjType
Decision Log,Sort Type,SortBehavior
Decision Log,Effective Permissions Mask,PermMask
Decision Log,Principal Count,PrincipalCount
Decision Log,Name,FileLeafRef
Decision Log,Unique Id,UniqueId
Decision Log,Client Id,SyncClientId
Decision Log,ProgId,ProgId
Decision Log,ScopeId,ScopeId
Decision Log,HTML File Type,HTML_x0020_File_x0020_Type
Decision Log,Edit Menu Table Start,_EditMenuTableStart
Decision Log,Edit Menu Table Start,_EditMenuTableStart2
Decision Log,Edit Menu Table End,_EditMenuTableEnd
Decision Log,Name,LinkFilenameNoMenu
Decision Log,Name,LinkFilename
Decision Log,Name,LinkFilename2
Decision Log,Type,DocIcon
Decision Log,Server Relative URL,ServerUrl
Decision Log,Encoded Absolute URL,EncodedAbsUrl
Decision Log,File Name,BaseName
Decision Log,Property Bag,MetaInfo
Decision Log,Level,_Level
Decision Log,Is Current Version,_IsCurrentVersion
Decision Log,Item Child Count,ItemChildCount
Decision Log,Folder Child Count,FolderChildCount
Decision Log,Restricted,Restricted
Decision Log,Originator Id,OriginatorId
Decision Log,NoExecute,NoExecute
Decision Log,Content Version,ContentVersion
Decision Log,Label setting,_ComplianceFlags
Decision Log,Retention label,_ComplianceTag
Decision Log,Retention label Applied,_ComplianceTagWrittenTime
Decision Log,Label applied by,_ComplianceTagUserId
Decision Log,Item is a Record,_IsRecord
Decision Log,Access Policy,AccessPolicy
Decision Log,VirusStatus,_VirusStatus
Decision Log,VirusVendorID,_VirusVendorID
Decision Log,VirusInfo,_VirusInfo
Decision Log,App Created By,AppAuthor
Decision Log,App Modified By,AppEditor
Decision Log,Total Size,SMTotalSize
Decision Log,Last Modified Date,SMLastModifiedDate
Decision Log,Total File Stream Size,SMTotalFileStreamSize
Decision Log,Total File Count,SMTotalFileCount
Decision Log,Comment settings,_CommentFlags
Decision Log,Comment count,_CommentCount
Document Type,Content Type ID,ContentTypeId
Document Type,Title,Title
Document Type,Approver Comments,_ModerationComments
Document Type,Title,LinkTitleNoMenu
Document Type,Title,LinkTitle
Document Type,Title,LinkTitle2
Document Type,File Type,File_x0020_Type
Document Type,Compliance Asset Id,ComplianceAssetId
Document Type,Document Type,Document_x0020_Type
Document Type,ID,ID
Document Type,Content Type,ContentType
Document Type,Modified,Modified
Document Type,Created,Created
Document Type,Created By,Author
Document Type,Modified By,Editor
Document Type,Has Copy Destinations,_HasCopyDestinations
Document Type,Copy Source,_CopySource
Document Type,owshiddenversion,owshiddenversion
Document Type,Workflow Version,WorkflowVersion
Document Type,UI Version,_UIVersion
Document Type,Version,_UIVersionString
Document Type,Attachments,Attachments
Document Type,Approval Status,_ModerationStatus
Document Type,Edit,Edit
Document Type,Select,SelectTitle
Document Type,Instance ID,InstanceID
Document Type,Order,Order
Document Type,GUID,GUID
Document Type,Workflow Instance ID,WorkflowInstanceID
Document Type,URL Path,FileRef
Document Type,Path,FileDirRef
Document Type,Modified,Last_x0020_Modified
Document Type,Created,Created_x0020_Date
Document Type,Item Type,FSObjType
Document Type,Sort Type,SortBehavior
Document Type,Effective Permissions Mask,PermMask
Document Type,Principal Count,PrincipalCount
Document Type,Name,FileLeafRef
Document Type,Unique Id,UniqueId
Document Type,Client Id,SyncClientId
Document Type,ProgId,ProgId
