ListTitle,FieldTitle,FieldInternalName
CascadeMasterList,Comment settings,_CommentFlags
CascadeMasterList,Comment count,_CommentCount
CascadeMasterList,Principal Count,PrincipalCount
CascadeMasterList,Name,FileLeafRef
CascadeMasterList,Name,LinkFilenameNoMenu
CascadeMasterList,Name,LinkFilename
CascadeMasterList,Name,LinkFilename2
CascadeMasterList,File Name,BaseName
CascadeMasterList,Item is a Record,_IsRecord
Commissioner Reviewers,ID,ID
Commissioner Reviewers,Content Type ID,ContentTypeId
Commissioner Reviewers,Content Type,ContentType
Commissioner Reviewers,Created,Created
Commissioner Reviewers,Created By,Author
Commissioner Reviewers,Modified,Modified
Commissioner Reviewers,Modified By,Editor
Commissioner Reviewers,Has Copy Destinations,_HasCopyDestinations
Commissioner Reviewers,Copy Source,_CopySource
Commissioner Reviewers,Approval Status,_ModerationStatus
Commissioner Reviewers,Approver Comments,_ModerationComments
Commissioner Reviewers,URL Path,FileRef
Commissioner Reviewers,Path,FileDirRef
Commissioner Reviewers,Modified,Last_x0020_Modified
Commissioner Reviewers,Created,Created_x0020_Date
Commissioner Reviewers,File Size,File_x0020_Size
Commissioner Reviewers,Item Type,FSObjType
Commissioner Reviewers,Sort Type,SortBehavior
Commissioner Reviewers,Effective Permissions Mask,PermMask
Commissioner Reviewers,ID of the User who has the item Checked Out,CheckedOutUserId
Commissioner Reviewers,Is Checked out to local,IsCheckedoutToLocal
Commissioner Reviewers,Checked Out To,CheckoutUser
Commissioner Reviewers,Name,FileLeafRef
Commissioner Reviewers,Unique Id,UniqueId
Commissioner Reviewers,Client Id,SyncClientId
Commissioner Reviewers,ProgId,ProgId
Commissioner Reviewers,ScopeId,ScopeId
Commissioner Reviewers,Virus Status,VirusStatus
Commissioner Reviewers,Checked Out To,CheckedOutTitle
Commissioner Reviewers,Check In Comment,_CheckinComment
Commissioner Reviewers,Checked Out To,LinkCheckedOutTitle
Commissioner Reviewers,Document Modified By,Modified_x0020_By
Commissioner Reviewers,Document Created By,Created_x0020_By
Commissioner Reviewers,File Type,File_x0020_Type
Commissioner Reviewers,HTML File Type,HTML_x0020_File_x0020_Type
Commissioner Reviewers,Source URL,_SourceUrl
Commissioner Reviewers,Shared File Index,_SharedFileIndex
Commissioner Reviewers,Edit Menu Table Start,_EditMenuTableStart
Commissioner Reviewers,Edit Menu Table Start,_EditMenuTableStart2
Commissioner Reviewers,Edit Menu Table End,_EditMenuTableEnd
Commissioner Reviewers,Type,DocIcon
Commissioner Reviewers,Server Relative URL,ServerUrl
Commissioner Reviewers,Encoded Absolute URL,EncodedAbsUrl
Commissioner Reviewers,File Size,FileSizeDisplay
Commissioner Reviewers,Property Bag,MetaInfo
Commissioner Reviewers,Level,_Level
Commissioner Reviewers,Is Current Version,_IsCurrentVersion
Commissioner Reviewers,Item Child Count,ItemChildCount
Commissioner Reviewers,Folder Child Count,FolderChildCount
Commissioner Reviewers,Restricted,Restricted
Commissioner Reviewers,Originator Id,OriginatorId
Commissioner Reviewers,NoExecute,NoExecute
Commissioner Reviewers,Content Version,ContentVersion
Commissioner Reviewers,Label setting,_ComplianceFlags
Commissioner Reviewers,Retention label,_ComplianceTag
Commissioner Reviewers,Retention label Applied,_ComplianceTagWrittenTime
Commissioner Reviewers,Label applied by,_ComplianceTagUserId
Commissioner Reviewers,BLOB Sequence Number,BSN
Commissioner Reviewers,List Schema Version,_ListSchemaVersion
Commissioner Reviewers,Dirty,_Dirty
Commissioner Reviewers,Parsable,_Parsable
Commissioner Reviewers,StubFile,_StubFile
Commissioner Reviewers,HasEncryptedContent,_HasEncryptedContent
Commissioner Reviewers,Access Policy,AccessPolicy
Commissioner Reviewers,VirusStatus,_VirusStatus
Commissioner Reviewers,VirusVendorID,_VirusVendorID
Commissioner Reviewers,VirusInfo,_VirusInfo
Commissioner Reviewers,Comment settings,_CommentFlags
Commissioner Reviewers,Comment count,_CommentCount
Commissioner Reviewers,Like count,_LikeCount
Commissioner Reviewers,Rights Management Template Id,_RmsTemplateId
Commissioner Reviewers,Sensitivity Label Id,_IpLabelId
Commissioner Reviewers,Sensitivity,_DisplayName
Commissioner Reviewers,Sensitivity Label Assignment Method,_IpLabelAssignmentMethod
Commissioner Reviewers,Expiration Date,_ExpirationDate
Commissioner Reviewers,App Created By,AppAuthor
Commissioner Reviewers,App Modified By,AppEditor
Commissioner Reviewers,Total Size,SMTotalSize
Commissioner Reviewers,Last Modified Date,SMLastModifiedDate
Commissioner Reviewers,Total File Stream Size,SMTotalFileStreamSize
Commissioner Reviewers,Total File Count,SMTotalFileCount
Commissioner Reviewers,Select,SelectTitle
Commissioner Reviewers,Select,SelectFilename
Commissioner Reviewers,Edit,Edit
Commissioner Reviewers,owshiddenversion,owshiddenversion
Commissioner Reviewers,UI Version,_UIVersion
